REG_ANS,operadora,nome_fantasia,uf,cidade,grupo_comparacao
314668,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,ABERTTA SAÚDE,MG,Belo Horizonte,Outras autogestões
368920,AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL,,MG,Viçosa,Outras autogestões
423319,ANAFE SAUDE,ANAFE SAUDE,GO,Águas Lindas de Goiás,Outras autogestões
416070,ARCELORMITTAL BRASIL S/A,ARCELORMITTAL BRASIL S/A,MG,Belo Horizonte,Outras autogestões
423432,"ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE",ADUFEPE SAÚDE,PE,Recife,Outras autogestões
317632,ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP,SP,São Paulo,Outras autogestões
343129,ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA,APUB SAÚDE,BA,Salvador,Outras autogestões
420093,ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM,ASSEM,SE,Aracaju,Outras autogestões
406635,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA,APAS/ITAPETININGA,SP,Itapetininga,Outras autogestões
410608,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS),APAS - PRESIDENTE PRUDENTE,SP,Presidente Prudente,Outras autogestões
304131,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),SAÚDE ABAS,SP,Campinas,Outras autogestões
417955,ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ,JUDICEMED,PR,Curitiba,Outras autogestões
416690,ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS,AMAGIS SAÚDE,MG,Belo Horizonte,Outras autogestões
416568,ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA,COPASS SAÚDE,MG,Belo Horizonte,Outras autogestões
393533,ASSOCIAÇÃO DO FISCO DE ALAGOAS,,AL,Maceió,Outras autogestões
387185,ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO,AFRERJ,RJ,Rio de Janeiro,Outras autogestões
330281,ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP,AFRAFEP - SAUDE,PB,João Pessoa,Outras autogestões
384704,ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC,ASSEC,SE,Aracaju,Outras autogestões
382639,ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC,AFISVEC - SAÚDE,RS,Porto Alegre,Outras autogestões
306754,ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS,AFFEGO-SAÚDE,GO,Goiânia,Outras autogestões
388092,ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM,AFFEAM SAÚDE,AM,Manaus,Outras autogestões
335754,ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA,ASFEB,BA,Salvador,Outras autogestões
419591,ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ,ASPARÁ,PA,Belém,Outras autogestões
422053,ASSOCIAÇÃO FCA SAÚDE,STELLANTIS SAUDE PE/PB,MG,Betim,Outras autogestões
416584,ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE,FUPS,PR,Campo Mourão,Outras autogestões
402206,ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO,AGMP,GO,Goiânia,Outras autogestões
423807,ASSOCIAÇÃO HOSPITALAR MOINHOS DE VENTO,HOSPITAL MOINHOS DE VENTO,RS,Porto Alegre,Outras autogestões
417211,ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO,AMMP SAÚDE,MG,Belo Horizonte,Outras autogestões
418617,ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ,PROMED,PR,Curitiba,Outras autogestões
422631,ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS,,RJ,Rio de Janeiro,Outras autogestões
408093,ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU,APAS-BOTUCATU,SP,Botucatu,Outras autogestões
