REG_ANS,trimestre,receitas_totais,despesas_totais,receita_assistencial,sinistro_liquido,despesa_administrativa,faturado_bruto,glosa,coparticipacao,dado_confiavel,padrao_tipico
302627,1T2025,16040935.55,10859553.47,11262093.0,9249631.6,1282512.38,9959437.79,520068.31,272919.76,True,True
304131,1T2025,29705895.29,30838972.23,28202011.81,28161018.18,2233987.41,29325256.32,1397860.47,367591.92,True,True
306754,1T2025,16906972.55,14831760.46,12866573.01,9584541.37,2084855.97,11537123.85,1247267.68,705314.8,True,True
307319,1T2025,115708864.98,73634526.3,78652592.48,60966577.25,7113687.13,71402661.32,2332287.48,8560799.12,True,True
307751,1T2025,33708266.18,30632071.9,30567106.39,26734013.09,2983100.93,28305572.94,1333623.35,254448.3,True,True
312126,1T2025,618321467.0,561758692.93,570816136.81,523884337.14,26055218.34,602721409.37,82079324.82,60387.64,True,True
314251,1T2025,23202894.22,20482308.16,22293983.2,17771323.75,1825391.6,18213608.28,268425.48,326601.34,True,True
314668,1T2025,79878253.05,63698814.12,72484617.93,45234832.87,10235189.32,60038620.17,2376248.86,5035958.47,True,True
315044,1T2025,67428794.38,54919178.62,63132150.41,50566835.02,3616977.53,57974054.37,911510.04,5609838.04,True,True
315478,1T2025,475492021.65,400589766.06,435113415.79,364078213.34,19160707.26,415589793.43,33869942.2,10838745.98,True,True
315567,1T2025,50341297.4,48457825.44,46555789.85,44647215.63,2850828.49,47441678.66,1173397.06,645049.28,True,True
315583,1T2025,13175901.24,8756377.65,12533987.4,6815581.45,1707901.58,11901734.35,839524.93,522241.85,True,True
316849,1T2025,2941175.14,2941175.14,2854243.65,1680720.58,1025619.94,1680720.58,,,True,True
316873,1T2025,49013236.97,39152138.51,46744878.77,31969866.09,5761865.32,35062084.39,117548.93,2899346.8,True,True
317632,1T2025,105732402.25,97624198.34,86772107.15,79274881.76,11075478.52,89073373.96,3323336.93,763986.07,True,True
320820,1T2025,20256909.58,15652289.96,17505654.09,10613737.74,4461969.59,13274881.27,2384975.35,268227.93,True,True
323080,1T2025,1303142899.34,1478048332.6,1199428219.17,1224189803.85,123797129.14,1366279155.2,276923621.05,21651139.84,True,True
324477,1T2025,90039472.73,94784332.26,85817506.58,78780076.37,13859787.93,92860651.44,11165557.56,2282869.04,True,True
